actor,condition,arm,coverage,lr,seed,checkpoint,cal_changed,cal_harm,cal_all24,cal_all_program_questions,cal_dir0,cal_dir1,cal_by_family,cal_sparse_changed,cal_sparse_harm,cal_sparse_all12,feasible,selected,train_loss,reg_train,steps,slots,train_seconds,eval_seconds,realized_norm,frobenius
qwen,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,0,0,0.907986111111111,0.1082175925925926,0.14583333333333334,0.14583333333333334,0.875,0.9409722222222222,"{""both"": 0.9125, ""direct"": 0.9729166666666667, ""either"": 0.7375, ""opposes"": 0.9291666666666667, ""same"": 0.825}",0.9375,0.030092592592592587,0.5625,False,False,,,0,0,0.0,19.735534554001788,17.474431900791426,56.54174598175588
qwen,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,0,1,0.9513888888888888,0.028356481481481483,0.3125,0.3125,0.9131944444444443,0.9895833333333334,"{""both"": 0.9666666666666667, ""direct"": 0.98125, ""either"": 0.9541666666666667, ""opposes"": 0.9916666666666667, ""same"": 0.8541666666666666}",0.9618055555555555,0.02199074074074074,0.6041666666666666,True,False,0.06171623456763129,0.004539022722423801,720,2880,155.47420960900126,19.716300844000216,16.992270519724944,56.877300751794095
qwen,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,0,2,0.9097222222222223,0.01736111111111111,0.5625,0.5625,0.829861111111111,0.9895833333333334,"{""both"": 0.95, ""direct"": 0.9729166666666667, ""either"": 0.9708333333333333, ""opposes"": 0.9791666666666666, ""same"": 0.8708333333333333}",0.9166666666666666,0.013888888888888888,0.7708333333333334,True,True,0.021776771812453254,0.003933893984261279,1440,5760,156.31229329099733,19.896625911002047,15.828451036134224,53.76044420445199
qwen,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,1,0,0.921875,0.07118055555555555,0.1875,0.1875,0.9270833333333334,0.9166666666666666,"{""both"": 0.9625, ""direct"": 0.975, ""either"": 0.7791666666666667, ""opposes"": 0.975, ""same"": 0.8458333333333333}",0.9479166666666666,0.011574074074074075,0.6458333333333334,False,False,,,0,0,0.0,19.72197498800233,17.091964878645655,56.29864879772801
qwen,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,1,1,0.9722222222222222,0.03472222222222222,0.5,0.5,0.9583333333333334,0.986111111111111,"{""both"": 0.9791666666666666, ""direct"": 0.99375, ""either"": 0.9166666666666666, ""opposes"": 0.9916666666666667, ""same"": 0.9}",0.982638888888889,0.016203703703703703,0.7291666666666666,True,False,0.07691524220509285,0.004630423180060461,720,2880,157.7540888520016,19.700479139999516,18.01120595236266,60.854569094898245
qwen,INV_COMPLETE_SINGLE,INVARIANT_SET,complete,0.0003,1,2,0.96875,0.02719907407407407,0.5416666666666666,0.5416666666666666,0.9409722222222223,0.9965277777777777,"{""both"": 0.9916666666666667, ""direct"": 0.9791666666666666, ""either"": 0.9583333333333334, ""opposes"": 0.9916666666666667, ""same"": 0.8791666666666667}",0.9652777777777777,0.02314814814814815,0.6875,True,True,0.024748550515710743,0.004165797797031701,1440,5760,154.52470954800083,19.66819697900064,16.029052028028143,55.02119030830593
qwen,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,0,0,0.8767361111111112,0.12442129629629628,0.10416666666666667,0.10416666666666667,0.8958333333333334,0.8576388888888888,"{""both"": 0.9333333333333333, ""direct"": 0.975, ""either"": 0.65, ""opposes"": 0.9333333333333333, ""same"": 0.7458333333333333}",0.90625,0.03587962962962963,0.3541666666666667,False,False,,,0,0,0.0,19.886524279001605,26.011678547197388,84.12473241858122
qwen,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,0,1,0.810763888888889,0.025462962962962965,0.22916666666666666,0.22916666666666666,0.6944444444444445,0.9270833333333334,"{""both"": 0.9083333333333333, ""direct"": 0.96875, ""either"": 0.8541666666666666, ""opposes"": 0.9375, ""same"": 0.7083333333333334}",0.857638888888889,0.009259259259259259,0.4375,False,True,0.0524452451030002,0.011691050512470408,720,2880,158.70194396499937,19.675798542000848,28.46353805956043,94.02693186686011
qwen,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,0,2,0.8402777777777777,0.0625,0.10416666666666667,0.10416666666666667,0.8159722222222223,0.8645833333333334,"{""both"": 0.9333333333333333, ""direct"": 0.9708333333333333, ""either"": 0.8, ""opposes"": 0.9333333333333333, ""same"": 0.7041666666666667}",0.857638888888889,0.02314814814814815,0.375,False,False,0.023946345768880904,0.011848935592893718,1440,5760,158.79331438399822,19.67750098400211,20.58233755933008,69.43377877131707
qwen,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,1,0,0.876736111111111,0.0792824074074074,0.125,0.125,0.8194444444444443,0.9340277777777777,"{""both"": 0.9541666666666667, ""direct"": 0.9666666666666667, ""either"": 0.8166666666666667, ""opposes"": 0.9541666666666667, ""same"": 0.6916666666666667}",0.9097222222222223,0.03356481481481482,0.4166666666666667,False,False,,,0,0,0.0,19.688804486999288,30.063383034539818,97.15897776554642
qwen,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,1,1,0.8836805555555557,0.04398148148148148,0.1875,0.1875,0.8194444444444443,0.9479166666666666,"{""both"": 0.9333333333333333, ""direct"": 0.9770833333333333, ""either"": 0.8708333333333333, ""opposes"": 0.9458333333333333, ""same"": 0.725}",0.9027777777777778,0.011574074074074075,0.4375,True,True,0.06678917102142642,0.013078664915843143,720,2880,158.68629569900077,19.668324862999725,26.37499531562642,86.53885373842633
qwen,FREE_SPARSE_CONTINUE,FREE_OVERWRITE,sparse,0.001,1,2,0.9027777777777777,0.07638888888888888,0.1875,0.1875,0.826388888888889,0.9791666666666666,"{""both"": 0.9583333333333334, ""direct"": 0.9770833333333333, ""either"": 0.7958333333333333, ""opposes"": 0.9708333333333333, ""same"": 0.7375}",0.8958333333333334,0.026620370370370367,0.4791666666666667,False,False,0.020029399065604914,0.011564729127955312,1440,5760,158.49910947099852,19.695943840000837,25.139279206876655,85.03502833720036
qwen,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,0,0,0.876736111111111,0.12442129629629628,0.10416666666666667,0.10416666666666667,0.8958333333333334,0.8576388888888888,"{""both"": 0.9333333333333333, ""direct"": 0.975, ""either"": 0.65, ""opposes"": 0.9333333333333333, ""same"": 0.7458333333333333}",0.90625,0.03587962962962963,0.3541666666666667,False,False,,,0,0,0.0,19.722195982998528,26.011678547197388,84.12473241858122
qwen,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,0,1,0.9409722222222223,0.037037037037037035,0.4166666666666667,0.4166666666666667,0.9027777777777777,0.9791666666666666,"{""both"": 0.9666666666666667, ""direct"": 0.9833333333333333, ""either"": 0.9291666666666667, ""opposes"": 0.9666666666666667, ""same"": 0.8416666666666667}",0.9479166666666666,0.02546296296296296,0.6041666666666666,True,False,0.04293974486899356,0.014022850421153837,720,2880,158.39453005299947,19.67141770499802,29.22618478472971,98.54766153315701
qwen,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,0,2,0.9513888888888888,0.020833333333333332,0.4166666666666667,0.4166666666666667,0.9479166666666666,0.9548611111111112,"{""both"": 0.9833333333333333, ""direct"": 0.9854166666666667, ""either"": 0.95, ""opposes"": 0.9583333333333334, ""same"": 0.875}",0.9618055555555557,0.013888888888888888,0.5833333333333334,True,True,0.016216665524077415,0.012288402850713788,1440,5760,158.32706572499956,19.66243151099843,26.09598073925412,88.85826482122364
qwen,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,1,0,0.8767361111111112,0.0792824074074074,0.125,0.125,0.8194444444444445,0.9340277777777777,"{""both"": 0.9541666666666667, ""direct"": 0.9666666666666667, ""either"": 0.8166666666666667, ""opposes"": 0.9541666666666667, ""same"": 0.6916666666666667}",0.9097222222222222,0.03356481481481482,0.4166666666666667,False,False,,,0,0,0.0,19.687940346997493,30.063383034539818,97.15897776554645
qwen,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,1,1,0.9149305555555557,0.014467592592592593,0.4583333333333333,0.4583333333333333,0.8680555555555557,0.9618055555555555,"{""both"": 0.9791666666666666, ""direct"": 0.9916666666666667, ""either"": 0.9416666666666667, ""opposes"": 0.9333333333333333, ""same"": 0.825}",0.9097222222222222,0.01273148148148148,0.6041666666666666,True,True,0.08164223674362564,0.014684722123072586,720,2880,155.93812221999906,19.710912190999807,28.933885065262004,97.97270757849904
qwen,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,1,2,0.920138888888889,0.049189814814814804,0.3125,0.3125,0.875,0.9652777777777777,"{""both"": 0.9708333333333333, ""direct"": 0.9958333333333333, ""either"": 0.9208333333333333, ""opposes"": 0.9541666666666667, ""same"": 0.7708333333333334}",0.9166666666666666,0.026620370370370367,0.5625,True,False,0.02587190367160198,0.012311001112943308,1440,5760,158.00615900900084,19.69061308700111,26.64390832079687,90.0369540523298
