actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,additional_rows,n_scenes,n_rows,disagreement_vs_single,disagreement_count,disagreement_denominator,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from,shared_from_condition,by_family
gemma,TEXT_CORRECTION_SEQ,repeat8,0.8802083333333333,0.05338541666666666,0.05416666666666666,0.28125,0.28125,0.912109375,0.912109375,0.8984375,0.046875,0.9458333333333333,0.046875,,,64,1536,0.039713541666666664,61,1536,0.18579475963391445,,,,[],[],"{""both"": 0.92578125, ""direct"": 0.9765625, ""either"": 0.9453125, ""opposes"": 0.97265625, ""same"": 0.67578125}"
gemma,TEXT_CORRECTION_SEQ,restore,,0.05533854166666666,0.06062882556722155,0.40625,0.40625,0.9075520833333333,0.9075520833333333,0.8734375,0.06808035714285714,0.9393711744327784,0.0234375,,,64,1536,0.4153645833333333,638,1536,0.4736685388455939,,,,[],[],"{""both"": 0.9765625, ""direct"": 0.98828125, ""either"": 0.828125, ""opposes"": 0.9765625, ""same"": 0.6875}"
gemma,TEXT_CORRECTION_SEQ,restore_after4,,0.06901041666666666,0.07541236064627294,0.34375,0.34375,0.8893229166666666,0.8893229166666666,0.8671875,0.09486607142857142,0.9245876393537271,0.046875,,,64,1536,0.40625,624,1536,0.5574072051422121,,,,[],[],"{""both"": 0.9609375, ""direct"": 0.9765625, ""either"": 0.78125, ""opposes"": 0.96484375, ""same"": 0.67578125}"
gemma,TEXT_CORRECTION_SEQ,overwrite,0.7044270833333334,0.022135416666666664,0.02265625,0.0625,0.0625,0.83984375,0.83984375,0.7953125,0.026562500000000003,0.97734375,0.04296875,,,64,1536,0.13020833333333334,200,1536,0.5100462123625084,,,,[],[],"{""both"": 0.90625, ""direct"": 0.9765625, ""either"": 0.7578125, ""opposes"": 0.828125, ""same"": 0.59375}"
gemma,TEXT_CORRECTION_SEQ,AB,0.9488932291666667,0.09309895833333333,0.09782986111111111,0.40625,0.40625,0.9309895833333333,0.9309895833333333,0.91875,0.020833333333333332,0.9021701388888889,0.015625,,,64,1536,0.30078125,462,1536,0.3333996481848895,,,,[],[],"{""both"": 0.953125, ""direct"": 0.99609375, ""either"": 0.9765625, ""opposes"": 1.0, ""same"": 0.6640625}"
gemma,TEXT_CORRECTION_SEQ,BA,0.9449869791666666,0.08463541666666666,0.08880208333333334,0.40625,0.40625,0.9342447916666666,0.9342447916666666,0.9390625,0.028645833333333332,0.9111979166666667,0.01171875,,,64,1536,0.2936197916666667,451,1536,0.3411806361555918,,,,[],[],"{""both"": 0.94921875, ""direct"": 0.998046875, ""either"": 0.9765625, ""opposes"": 0.9921875, ""same"": 0.69140625}"
gemma,TEXT_CORRECTION_SEQ,ABC,0.9791666666666666,0.14322916666666666,0.15230147456709958,0.3125,0.3125,0.9108072916666667,0.9176682692307693,0.8890625,0.11927083333333333,0.8476985254329004,0.04296875,1.0,128,64,1664,0.400390625,615,1536,0.5216145742667256,,,,[],[],"{""both"": 0.96875, ""direct"": 0.982421875, ""either"": 0.96875, ""opposes"": 0.98046875, ""same"": 0.58203125}"
gemma,TEXT_CORRECTION_SEQ,CBA,0.984375,0.15071614583333331,0.16100260416666665,0.203125,0.203125,0.9049479166666666,0.9122596153846154,0.9109375,0.1578125,0.8389973958333333,0.046875,1.0,128,64,1664,0.3697916666666667,568,1536,0.6156014308508588,,,,[],[],"{""both"": 0.98828125, ""direct"": 0.98046875, ""either"": 0.96484375, ""opposes"": 0.9921875, ""same"": 0.5234375}"
gemma,TEXT_CORRECTION_SEQ,AB_cross,0.8763020833333333,0.08072916666666666,0.08124999999999999,0.15625,0.15625,0.8971354166666666,0.9050480769230769,0.8828125,0.075,0.91875,0.046875,1.0,128,64,1664,0.08203125,126,1536,0.3118969084000985,,,,[],[],"{""both"": 0.92578125, ""direct"": 0.95703125, ""either"": 0.9140625, ""opposes"": 0.94140625, ""same"": 0.6875}"
gemma,INV_SPARSE_CONTINUE_s0,single,0.9270833333333333,0.026041666666666668,0.0265625,0.59375,0.59375,0.9485677083333333,0.9485677083333333,0.96875,0.034375,0.9734375000000001,0.00390625,,,64,1536,0.0,0,1536,0.0,44381.65505981445,0.539952059276402,1.0,[],[],"{""both"": 0.921875, ""direct"": 0.986328125, ""either"": 0.94140625, ""opposes"": 0.9609375, ""same"": 0.89453125}"
gemma,INV_SPARSE_CONTINUE_s0,noop,,0.018229166666666664,0.020198074494949494,0.59375,0.59375,0.953125,0.953125,0.9609375,0.05245535714285714,0.9798019255050505,0.00390625,,,64,1536,0.4615885416666667,709,1536,0.3831883093594423,35604.00341796875,0.5334747177548707,1.0,[],[],"{""both"": 0.9765625, ""direct"": 0.998046875, ""either"": 0.91796875, ""opposes"": 0.96875, ""same"": 0.859375}"
gemma,INV_SPARSE_CONTINUE_s0,repeat2,0.9270833333333333,0.02734375,0.028125,0.59375,0.59375,0.947265625,0.947265625,0.9671875,0.035937500000000004,0.971875,0.0,,,64,1536,0.0013020833333333333,2,1536,0.004666931329690982,44381.65798950195,0.539952274877578,2.0,"[""single""]","[""INV_SPARSE_CONTINUE_s0""]","{""both"": 0.921875, ""direct"": 0.984375, ""either"": 0.9375, ""opposes"": 0.9609375, ""same"": 0.89453125}"
