actor,condition,program,n,max_workspace,max_bf16,hash_equal_single_fraction
qwen,FREE_SPARSE_CONTINUE_s0,restore_after4,32,4.601751327514648,4.6015625,0.0
qwen,FREE_SPARSE_CONTINUE_s1,AB,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s1,ABC,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s1,AB_cross,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s1,BA,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s1,CBA,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s1,noop,32,5.474325180053711,5.5,0.0
qwen,FREE_SPARSE_CONTINUE_s1,overwrite,32,3.3256568908691406,3.5,0.0
qwen,FREE_SPARSE_CONTINUE_s1,repeat2,32,2.15850830078125,2.125,0.0
qwen,FREE_SPARSE_CONTINUE_s1,repeat4,32,3.599576950073242,3.625,0.0
qwen,FREE_SPARSE_CONTINUE_s1,repeat8,32,4.422323226928711,4.41864013671875,0.0
qwen,FREE_SPARSE_CONTINUE_s1,restore,32,5.002876281738281,5.0,0.0
qwen,FREE_SPARSE_CONTINUE_s1,restore_after4,32,4.841651916503906,5.0,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,AB,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,ABC,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,AB_cross,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,BA,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,CBA,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,noop,32,6.649394989013672,6.75,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,overwrite,32,2.0114784240722656,2.0,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,repeat2,32,2.0241546630859375,2.0,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,repeat4,32,4.316699981689453,4.25,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,repeat8,32,7.170436859130859,7.0,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,restore,32,4.879486083984375,5.0,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s0,restore_after4,32,3.687471628189087,3.703125,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,AB,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,ABC,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,AB_cross,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,BA,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,CBA,32,,,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,noop,32,6.207132339477539,6.203125,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,overwrite,32,4.764347076416016,4.75,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,repeat2,32,2.4412879943847656,2.5,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,repeat4,32,5.384960174560547,5.375,0.0
