model,population,family,direction_id,dose,items,boards,mean_semantic_margin,mean_delta_from_zero,delta_ci_low,delta_ci_high,verdict_change_rate_from_zero
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082102,-0.5,297,121,-0.8305976429972985,-0.0449810644647635,-0.0587551767093747,-0.0317665288435197,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082102,0.0,297,121,-0.7870370354315247,0.0,0.0,0.0,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082102,0.5,297,121,-0.7487373719311724,0.0383092257355855,0.0258264440858413,0.0508791765634267,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082102,1.0,297,121,-0.7028619528619529,0.0830320188821839,0.0632306711404448,0.1034779557676026,0.0033670033670033
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082102,2.0,297,121,-0.6037457887371782,0.1829373265511405,0.1519455953734637,0.213799937392685,0.0033670033670033
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082103,-2.0,297,121,-0.7920875420875421,-0.0045196320399765,-0.0519541974566856,0.0413244649070024,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082103,-1.0,297,121,-0.7800925901843241,0.0076188003392915,-0.016442836603514,0.0314221693875047,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082103,-0.5,297,121,-0.784301347804792,0.0043474460436292,-0.0117510373352644,0.0200154896733189,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082103,0.0,297,121,-0.7870370354315247,0.0,0.0,0.0,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082103,0.5,297,121,-0.8017676751621644,-0.0154528256618615,-0.0291419220364783,-0.0021080838747261,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082103,1.0,297,121,-0.8036616141547258,-0.0218663933191746,-0.0459710774589176,0.0031852627383447,0.0
