actor,condition,program,n,max_workspace,mean_workspace,max_bf16,hash_equal_single_fraction
gemma,INVARIANT_SET_s1,overwrite,64,1.52587890625e-05,1.1146068572998047e-05,0.03125,0.125
gemma,INVARIANT_SET_s1,repeat2,64,1.52587890625e-05,8.64267349243164e-06,0.03125,0.125
gemma,INVARIANT_SET_s1,repeat4,64,1.52587890625e-05,1.0475516319274902e-05,0.03125,0.09375
gemma,INVARIANT_SET_s1,repeat8,64,2.6702880859375e-05,1.6614794731140137e-05,0.03125,0.0625
gemma,INVARIANT_SET_s1,restore,64,10.183256149291992,8.953216552734375,10.1640625,0.0
gemma,INVARIANT_SET_s1,restore_after4,64,10.183256149291992,8.953216537833214,10.1640625,0.0
qwen,AFFINE_CLAUSE_s0,AB,32,,,,0.0
qwen,AFFINE_CLAUSE_s0,ABC,32,,,,0.0
qwen,AFFINE_CLAUSE_s0,AB_cross,32,,,,0.0
qwen,AFFINE_CLAUSE_s0,BA,32,,,,0.0
qwen,AFFINE_CLAUSE_s0,CBA,32,,,,0.0
qwen,AFFINE_CLAUSE_s0,noop,32,2.232421875,2.21612548828125,2.232421875,0.0
qwen,AFFINE_CLAUSE_s0,overwrite,32,2.203125,2.16497802734375,2.203125,0.0
qwen,AFFINE_CLAUSE_s0,repeat2,32,1.80078125,1.6572265625,1.80078125,0.0
qwen,AFFINE_CLAUSE_s0,repeat4,32,5.37890625,4.962158203125,5.37890625,0.0
qwen,AFFINE_CLAUSE_s0,repeat8,32,12.61328125,11.381103515625,12.61328125,0.0
qwen,AFFINE_CLAUSE_s0,restore,32,1.796875,1.649169921875,1.796875,0.0
qwen,AFFINE_CLAUSE_s0,restore_after4,32,5.6796875,5.1351318359375,5.6796875,0.0
qwen,AFFINE_CLAUSE_s1,AB,32,,,,0.0
qwen,AFFINE_CLAUSE_s1,ABC,32,,,,0.0
qwen,AFFINE_CLAUSE_s1,AB_cross,32,,,,0.0
qwen,AFFINE_CLAUSE_s1,BA,32,,,,0.0
qwen,AFFINE_CLAUSE_s1,CBA,32,,,,0.0
qwen,AFFINE_CLAUSE_s1,noop,32,2.19921875,2.152618408203125,2.19921875,0.0
