actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,n_scenes,disagreement_vs_single,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from
gemma,INVARIANT_SET_s1,repeat4,0.9283854166666666,0.01171875,0.01171875,0.546875,0.546875,0.95703125,0.95703125,0.946875,0.010937500000000001,0.98828125,0.00390625,,64,0.0006510416666666666,0.004911470101597833,56886.04022216797,0.5582399223931134,4.0,"[""repeat2"", ""single""]"
gemma,INVARIANT_SET_s1,repeat8,0.9283854166666666,0.01171875,0.01171875,0.546875,0.546875,0.95703125,0.95703125,0.946875,0.010937500000000001,0.98828125,0.00390625,,64,0.001953125,0.003924823535977377,56886.044860839844,0.5582400648854673,8.0,"[""repeat2"", ""repeat4"", ""single""]"
gemma,INVARIANT_SET_s1,restore,,0.009765625,0.011439383878421349,0.515625,0.515625,0.9576822916666667,0.9576822916666667,0.953125,0.0390625,0.9885606161215788,0.015625,,64,0.4401041666666667,0.31188853881534345,62367.196716308594,0.5581984431482852,2.0,"[""noop""]"
gemma,INVARIANT_SET_s1,restore_after4,,0.009765625,0.011439383878421349,0.515625,0.515625,0.9576822916666667,0.9576822916666667,0.953125,0.0390625,0.9885606161215788,0.015625,,64,0.4401041666666667,0.3119613212421939,62367.19189453125,0.5581983518786728,5.0,"[""noop"", ""restore""]"
gemma,INVARIANT_SET_s1,overwrite,0.9296875,0.01171875,0.01171875,0.546875,0.546875,0.9576822916666667,0.9576822916666667,0.9484375,0.010937500000000001,0.98828125,0.00390625,,64,0.0,0.0037850854463385986,56886.04553222656,0.5582401626743376,3.0,"[""repeat2"", ""repeat4"", ""repeat8"", ""single""]"
gemma,INVARIANT_SET_s1,AB,0.9401041666666666,0.04622395833333333,0.05070120851370851,0.4375,0.4375,0.939453125,0.939453125,0.9015625,0.0078125,0.9492987914862915,0.0078125,,64,0.32421875,0.2719784540551278,110131.00183105469,0.5653360765427351,2.0,[]
gemma,INVARIANT_SET_s1,BA,0.9401041666666666,0.04622395833333333,0.05070120851370851,0.4375,0.4375,0.939453125,0.939453125,0.9015625,0.0078125,0.9492987914862915,0.0078125,,64,0.32421875,0.2719784540551278,110131.00183105469,0.5653360765427351,2.0,"[""AB""]"
gemma,INVARIANT_SET_s1,ABC,0.9524739583333333,0.04947916666666666,0.057956800144300144,0.4375,0.4375,0.9401041666666667,0.9435096153846154,0.903125,0.02604166666666667,0.9420431998556998,0.0078125,0.984375,64,0.4342447916666667,0.3380667129615631,165761.42993164062,0.5678345998749137,3.0,[]
gemma,INVARIANT_SET_s1,CBA,0.9524739583333333,0.04947916666666666,0.057956800144300144,0.4375,0.4375,0.9401041666666667,0.9435096153846154,0.903125,0.02604166666666667,0.9420431998556998,0.0078125,0.984375,64,0.4342447916666667,0.3380667129615631,165761.42993164062,0.5678345998749137,3.0,"[""ABC""]"
gemma,INVARIANT_SET_s1,AB_cross,0.87109375,0.03515625,0.03515625,0.34375,0.34375,0.91796875,0.921875,0.8828125,0.040625,0.96484375,0.0078125,0.96875,64,0.080078125,0.33223774533790856,110025.04016113281,0.5656902636401355,2.0,[]
gemma,FREE_OVERWRITE_s0,single,0.9153645833333333,0.018229166666666664,0.018229166666666664,0.546875,0.546875,0.947265625,0.947265625,0.934375,0.021875,0.9817708333333333,0.0078125,,64,0.0,0.0,146128.8233642578,0.5636860933154821,1.0,[]
gemma,FREE_OVERWRITE_s0,noop,,0.0026041666666666665,0.0027791501976284585,0.59375,0.59375,0.9544270833333334,0.9544270833333334,0.9390624999999999,0.03459821428571429,0.9972208498023716,0.0,,64,0.4251302083333333,0.33714802483531514,98053.29290771484,0.5594762139953673,1.0,[]
gemma,FREE_OVERWRITE_s0,repeat2,0.8854166666666667,0.01171875,0.01171875,0.53125,0.53125,0.935546875,0.935546875,0.9109375,0.0140625,0.98828125,0.0078125,,64,0.022135416666666668,0.11623943780385086,137566.52783203125,0.5648962650448084,2.0,[]
gemma,FREE_OVERWRITE_s0,repeat4,0.88671875,0.013020833333333332,0.013020833333333332,0.53125,0.53125,0.935546875,0.935546875,0.9125000000000001,0.015625,0.9869791666666667,0.0078125,,64,0.01953125,0.10335156381405852,132337.53161621094,0.5699036973528564,4.0,[]
gemma,FREE_OVERWRITE_s0,repeat8,0.8841145833333334,0.013020833333333332,0.013020833333333332,0.515625,0.515625,0.9342447916666667,0.9342447916666667,0.9109375,0.015625,0.9869791666666667,0.0078125,,64,0.020833333333333332,0.10373566629326565,132585.08642578125,0.5679282424971461,8.0,[]
