actor,arm,lr,seed,epoch,strength,cal_changed,cal_harm,cal_all24,cal_dir0,cal_dir1,cal_feasible,frontier,fit_changed,fit_harm,fit_loss,train_loss,saturation,realized_norm,frobenius,visits,steps,train_seconds,eval_seconds,not_extended
gemma,SHARED_CLAUSE,0.001,0,1,0.75,0.8958333333333334,0.010416666666666666,0.59375,0.8854166666666666,0.90625,True,"[1, 0.8958333333333334]",0.9913194444444445,0.004629629629629629,0.032995372036739606,0.05752303945813664,0.9822391373295274,77.39056243896485,228.78019171813108,1440,360,121.61492436299886,65.92485865799972,True
gemma,SHARED_CLAUSE,0.001,0,1,1.0,0.9635416666666667,0.0,0.71875,0.9270833333333333,1.0,True,"[1, 0.9635416666666667]",0.9913194444444445,0.004629629629629629,0.032995372036739606,0.05752303945813664,0.9822391373295274,103.18620221819197,305.0366663863266,1440,360,121.61492436299886,79.1167080139985,True
gemma,SHARED_CLAUSE,0.001,0,1,1.25,0.9635416666666667,0.0,0.75,0.9375,0.9895833333333334,True,"[1, 0.9635416666666667]",0.9913194444444445,0.004629629629629629,0.032995372036739606,0.05752303945813664,0.9822391373295274,128.98212655203682,381.2940529680965,1440,360,121.61492436299886,92.09123420099968,True
gemma,SHARED_CLAUSE,0.001,0,2,0.5,0.47916666666666663,0.010416666666666666,0.1875,0.3333333333333333,0.625,False,"[0, 0.4583333333333333]",0.9947916666666666,0.0,0.007692315227584206,0.010111447941896282,1.0,51.5948127419608,152.52339427065735,2880,720,119.67255303999991,52.28475271800016,True
gemma,SHARED_CLAUSE,0.001,0,2,0.75,0.8802083333333333,0.010416666666666666,0.59375,0.78125,0.9791666666666667,False,"[0, 0.8593749999999999]",0.9947916666666666,0.0,0.007692315227584206,0.010111447941896282,1.0,77.39017667497907,228.77917727221217,2880,720,119.67255303999991,65.09746137000002,True
gemma,SHARED_CLAUSE,0.001,0,2,1.0,0.9635416666666667,0.005208333333333333,0.78125,0.9270833333333333,1.0,True,"[1, 0.9635416666666667]",0.9947916666666666,0.0,0.007692315227584206,0.010111447941896282,1.0,103.18643604823521,305.03742623963,2880,720,119.67255303999991,78.18520398100009,True
gemma,SHARED_CLAUSE,0.001,0,2,1.25,0.953125,0.006944444444444444,0.78125,0.90625,1.0,True,"[1, 0.953125]",0.9947916666666666,0.0,0.007692315227584206,0.010111447941896282,1.0,128.98288731166295,381.2962379693436,2880,720,119.67255303999991,91.2445812499991,True
gemma,SHARED_TAIL,0.0003,0,1,0.5,0.296875,0.020833333333333332,0.0625,0.20833333333333331,0.38541666666666663,False,"[0, 0.2552083333333333]",0.9791666666666666,0.0,0.03039074787000623,0.04120029470511023,0.9356398159473469,51.156919568014295,371.1546131012275,1440,360,110.29701108700101,52.31650741700105,False
gemma,SHARED_TAIL,0.0003,0,1,0.75,0.7552083333333333,0.020833333333333332,0.5,0.6354166666666666,0.875,False,"[0, 0.7135416666666666]",0.9791666666666666,0.0,0.03039074787000623,0.04120029470511023,0.9356398159473469,76.7339167063901,556.7204043389058,1440,360,110.29701108700101,65.192591559,False
gemma,SHARED_TAIL,0.0003,0,1,1.0,0.9322916666666666,0.015625,0.71875,0.8854166666666666,0.9791666666666666,True,"[1, 0.9322916666666666]",0.9791666666666666,0.0,0.03039074787000623,0.04120029470511023,0.9356398159473469,102.31114465407742,742.288658174184,1440,360,110.29701108700101,78.00620538099975,False
